"","R_Squared","Models","scale"
"1",0.68553106290464,"SD","1km"
"2",0.701140870399363,"HM","1km"
"3",0.751018990543014,"WK","1km"
"4",0.717122442495232,"GB","1km"
"5",0.562023900833384,"IPCC","1km"
"6",0.738916736274151,"SD","5km"
"7",0.753653291636179,"HM","5km"
"8",0.792134878192893,"WK","5km"
"9",0.759255359654691,"GB","5km"
"10",0.629416838796449,"IPCC","5km"
"11",0.752930647741216,"SD","10km"
"12",0.764189058094375,"HM","10km"
"13",0.806216888163048,"WK","10km"
"14",0.769162057762288,"GB","10km"
"15",0.652484559206784,"IPCC","10km"
"16",0.771898092323212,"SD","25km"
"17",0.784077206897254,"HM","25km"
"18",0.820363232109027,"WK","25km"
"19",0.788271399701116,"GB","25km"
"20",0.674681252859301,"IPCC","25km"
"21",0.776664190681145,"SD","50km"
"22",0.785321535378755,"HM","50km"
"23",0.827150426130789,"WK","50km"
"24",0.789265278228918,"GB","50km"
"25",0.693360227335544,"IPCC","50km"
"26",0.791460212647562,"SD","100km"
"27",0.797896906534822,"HM","100km"
"28",0.83401319317745,"WK","100km"
"29",0.801212643988371,"GB","100km"
"30",0.711646618031155,"IPCC","100km"
"31",0.792070902287812,"SD","250km"
"32",0.806251529472322,"HM","250km"
"33",0.840125548011321,"WK","250km"
"34",0.80729488860574,"GB","250km"
"35",0.731970412899173,"IPCC","250km"
