,ConservationPotential,PlantedPotential
0,8.975194740885666,1.1441151104958505
1,0.8211694855609897,0.038335383964543245
2,0.42092521253480153,0.022370936264886634
3,8.21461121515211,0.9375654206136923
4,1.2844500944583521,0.31039506888484775
5,1.1909125895842345,0.0001249804114626577
6,4.116150449670004,0.09243096458791614
7,0.673452785730646,0.011975570733923805
8,0.2414337901258091,0.009800717611035346
9,0.3994379010944759,0.028846095727544773
10,0.05928826845674931,2.8290030662320076e-08
11,0.42466370890282784,0.11710911610932531
12,0.2597031758185122,0.006082163439361675
13,0.261815306334151,0.021086424002545883
sum,27.343208724309324,2.740237981136967
